transaction_id,card_id,merchant_name,amount,location,timestamp,transaction_type,related_transaction_id,status
1,48,Garcia Ltd,-368.7,"USCGC Mills, FPO AA 76862",2025-04-01T01:07:13,refund,,pending
2,15,Herrera-Clark,4807.11,"1486 Melody Fords, Jefftown, MN 97978",2025-04-01T01:17:38,wire_transfer,,declined
3,37,Hayes-Bradshaw,940.38,"582 Anne Roads Suite 036, Johnsonshire, GA 40165",2025-04-01T01:43:20,purchase,,declined
4,45,"Randall, Gutierrez and Werner",4527.93,"19735 Laurie Mills, Port Amy, WI 97338",2025-04-01T01:44:31,wire_transfer,,declined
5,20,Jones PLC,477.83,"5159 Daniel Cape Apt. 385, Raymondville, MI 45363",2025-04-01T01:45:11,atm_withdrawal,,pending
6,25,Hayes-Adams,230.22,"887 Thomas Manors Suite 488, West Nancyfurt, MD 96566",2025-04-01T01:49:23,atm_withdrawal,,declined
7,28,"Norris, Wilcox and Bates",-55.76,"038 Hardin Green, Henrytown, UT 76721",2025-04-01T02:01:21,refund,,pending
8,24,Austin Inc,4849.04,"59476 Cunningham Center, South Williamfort, ND 92278",2025-04-01T02:07:28,wire_transfer,,declined
9,26,"Cruz, Moody and Hanson",451.76,"03850 Stephen Ville, Nealhaven, MS 28066",2025-04-01T02:16:11,atm_withdrawal,,declined
10,41,Galloway-York,349.79,"834 Joseph Flat, North Timothymouth, NM 42729",2025-04-01T02:17:23,purchase,,declined
11,45,Lane Inc,372.95,"81224 Carter Parks, Lake Jason, PR 27060",2025-04-01T02:30:04,atm_withdrawal,,declined
12,32,Church and Sons,350.14,"6920 Crane Brooks Apt. 152, West Jose, PA 65506",2025-04-01T02:32:31,wire_transfer,,pending
13,41,Carter-Wells,218.43,"526 Lewis Trafficway Suite 859, Williamschester, DC 11923",2025-04-01T02:33:41,bill_payment,,declined
14,65,"Pugh, Hart and French",554.75,"87541 Kyle Manors Suite 438, New Troyview, PA 50889",2025-04-01T02:34:36,wire_transfer,,pending
15,3,Rodriguez-Whitney,238.15,"456 Moses Ferry, Heatherstad, MD 77703",2025-04-01T02:41:52,purchase,,declined
16,68,"Gardner, Oneill and Taylor",354.08,"42722 Lewis Trafficway, Brownchester, NM 81081",2025-04-01T02:51:43,atm_withdrawal,,declined
17,39,Fox Inc,-354.53,"2966 Suzanne Fields Suite 439, Pearsonbury, LA 55415",2025-04-01T02:59:05,refund,,pending
18,65,Guzman PLC,206.85,"843 Charles Key, East Hector, CT 19139",2025-04-01T03:16:14,purchase,,declined
19,69,Moore-Perez,87.88,"10631 Snyder Lakes, East Jeffrey, AZ 62522",2025-04-01T03:20:42,purchase,,declined
20,45,Gonzales Ltd,-374.31,"1333 Nicole Forges Apt. 502, South Leahfort, ID 78056",2025-04-01T03:53:13,refund,,pending
21,21,Ortiz Ltd,3144.43,"9001 Katherine Dam Suite 426, East Christy, FL 96556",2025-04-01T04:05:10,p2p_transfer,,declined
22,58,Edwards-Brown,487.88,"0554 Michelle Fields, East Ashleeburgh, ME 71882",2025-04-01T04:17:21,purchase,,declined
23,19,"Chapman, Paul and Caldwell",1343.57,"626 Perez Trail Suite 756, Kellyton, AL 24844",2025-04-01T04:34:09,wire_transfer,,declined
24,1,Hall and Sons,-231.54,"46880 Moon Pines, Jordanshire, CA 37009",2025-04-01T05:10:54,refund,,pending
25,60,Diaz PLC,1973.87,"79058 Daniels Corner, Anthonyhaven, VI 43925",2025-04-01T05:10:57,p2p_transfer,,declined
26,6,Daniel Inc,2714.25,"208 Richardson Ports Suite 693, West Kayla, FL 20803",2025-04-01T05:11:27,wire_transfer,,declined
27,38,Wagner-White,-81.27,"04546 Porter Garden Suite 212, Tommyborough, OK 38987",2025-04-01T05:19:13,refund,,pending
28,14,Hickman PLC,138.64,"0908 Ashley Corner, East Kim, TX 16471",2025-04-01T05:37:25,bill_payment,,declined
29,28,"Graham, Hernandez and Oliver",1236.16,"Unit 1826 Box 7881, DPO AA 06807",2025-04-01T05:53:14,purchase,,declined
30,50,Brown-Brown,595.12,"04561 Robert Branch Suite 428, Johnmouth, MH 94530",2025-04-01T06:02:54,bill_payment,,declined
31,11,"Munoz, Smith and Johnson",505.61,"480 Paul Stream Apt. 374, Brandonfurt, LA 56080",2025-04-01T06:13:55,bill_payment,,declined
32,60,Yoder Inc,2152.54,"939 Kennedy Gateway, Marymouth, SC 90493",2025-04-01T06:15:32,p2p_transfer,,declined
33,16,"Pacheco, Bradford and Brown",652.74,"354 Robert Mount Suite 630, Lake Tinaborough, MP 40406",2025-04-01T06:27:55,p2p_transfer,,declined
34,42,"Hammond, Vasquez and Riley",-38.78,"8315 Roberts Avenue Apt. 925, New Thomas, NM 48763",2025-04-01T06:48:02,refund,,pending
35,41,Francis Ltd,315.8,"Unit 0727 Box 9276, DPO AE 08529",2025-04-01T06:48:22,atm_withdrawal,,declined
36,51,Marshall Group,2089.4,"88295 Myers Hollow, Anthonybury, FM 51524",2025-04-01T06:48:59,wire_transfer,,declined
37,64,Gonzalez PLC,217.02,"7547 Kimberly Street, Travisside, PR 94517",2025-04-01T06:49:17,wire_transfer,,declined
38,47,Collins-Jennings,107.51,"919 Sherry Fort, Jamesburgh, AL 49778",2025-04-01T07:04:36,atm_withdrawal,,pending
